DataZone,IncNumDep,EmpNumDep,HouseNumOC,EduNoQuals
S01008559,0.783472298,0.736902255,0.937085214,0.80889692
S01008560,0.819426492,0.767621571,0.922513227,0.776859794
S01008561,0.757521757,0.678342295,0.899844765,0.793079355
S01008562,0.896103651,0.880364397,0.913159005,0.775541942
S01008563,0.878822308,0.837405326,0.906078403,0.798908002
S01008564,0.715214157,0.719375815,0.880913078,0.678788758
S01008565,0.90016036,0.86436401,0.909806483,0.807817077
S01008566,0.869467385,0.827462989,0.929429329,0.887440851
S01008567,0.805951679,0.767621571,0.88587317,0.800048898
S01008568,0.726828782,0.653787415,0.815581679,0.703329647
S01008569,0.94246796,0.974299325,0.967084817,0.82622845
S01008570,0.945556951,0.921397917,0.956001876,0.889413616
S01008571,0.775258704,0.736902255,0.843460192,0.643965629
S01008572,0.775258704,0.752902642,0.887596037,0.668851098
S01008573,0.689263617,0.59191406,0.791536039,0.631541347
S01008574,0.572575555,0.497979132,0.70570599,0.57396117
S01008575,0.387629352,0.423418785,0.707146543,0.537937768
S01008576,0.621005476,0.678342295,0.720132693,0.640948046
S01008577,0.726828782,0.625440887,0.693989994,0.49900553
S01008578,0.504317414,0.423418785,0.507158389,0.414075165
S01008579,0.621005476,0.625440887,0.702759397,0.554369159
S01008580,0.640833695,0.55088054,0.751731903,0.643965629
S01008581,0.878822308,0.855809517,0.892803373,0.814190378
S01008582,0.878822308,0.86436401,0.896673231,0.778166976
S01008583,0.783472298,0.719375815,0.808526991,0.789478403
S01008584,0.819426492,0.736902255,0.821249426,0.798908002
S01008585,0.805951679,0.736902255,0.857093343,0.752846954
S01008586,0.819426492,0.752902642,0.905257731,0.834702255
S01008587,0.689263617,0.497979132,0.678218906,0.57396117
S01008588,0.504317414,0.497979132,0.556329634,0.640948046
S01008589,0.54188258,0.29595703,0.736853188,0.371720127
S01008590,0.54188258,0.497979132,0.597956232,0.599504221
S01008591,0.621005476,0.625440887,0.691490194,0.67139345
S01008592,0.715214157,0.700001234,0.731748356,0.752846954
S01008593,0.387629352,0.423418785,0.552633506,0.483619036
S01008594,0.598526095,0.55088054,0.5826604,0.688149989
S01008595,0.891946766,0.84683757,0.878072402,0.830049599
S01008596,0.837809678,0.793936162,0.883518444,0.839224568
S01008597,0.572575555,0.497979132,0.715917439,0.595517944
S01008598,0.658570642,0.59191406,0.683239747,0.842753364
S01008599,0.54188258,0.59191406,0.544607298,0.770160244
S01008600,0.689263617,0.625440887,0.621353247,0.770160244
S01008601,0.572575555,0.59191406,0.727575126,0.898931264
S01008602,0.455887493,0.423418785,0.625385105,0.763170581
S01008603,0.766623719,0.767621571,0.706786368,0.934708011
S01008604,0.572575555,0.625440887,0.580488512,0.782026187
S01008605,0.504317414,0.497979132,0.549059826,0.785795292
S01008606,0.455887493,0.497979132,0.412958942,0.649836676
S01008607,0.54188258,0.423418785,0.31576287,0.483619036
S01008608,0.504317414,0.423418785,0.448619844,0.603394433
